player_id,player_name,team,event_name,x,y,sector,posicion_evento,sector_en_posicion,sector_en_vecino,game_date,match,outcome
900001,Player_001,Demo Club Norte,Pass,53.9,62.55,C14,AMF,True,False,2024-04-02,Demo Club Norte v Demo Club Atlántico,0
900001,Player_001,Demo Club Norte,Pass,37.19,22.7,C6,AMF,False,False,2024-01-15,Demo Club Norte v Demo Club Mediterráneo,1
900001,Player_001,Demo Club Norte,Long ball,21.13,56.89,C13,AMF,True,False,2023-10-03,Demo Club Norte v Demo Club Mediterráneo,0
900001,Player_001,Demo Club Norte,Long ball,84.36,20.71,C7,AMF,False,True,2024-04-28,Demo Club Norte v Demo Club Sur,1
900001,Player_001,Demo Club Norte,Wide ball,44.76,51.27,C14,AMF,True,False,2024-01-15,Demo Club Norte v Demo Club Capital,1
900001,Player_001,Demo Club Norte,Wide ball,39.94,60.08,C14,AMF,True,False,2023-08-12,Demo Club Norte v Demo Club Atlántico,1
900001,Player_001,Demo Club Norte,Wide ball,45.73,54.9,C14,AMF,True,False,2024-05-25,Demo Club Norte v Demo Club Atlántico,0
900001,Player_001,Demo Club Norte,Through ball,106.8,45.16,C12,AMF,True,False,2023-09-07,Demo Club Norte v Demo Club Interior,1
900001,Player_001,Demo Club Norte,Through ball,11.06,56.23,C13,AMF,True,False,2023-08-12,Demo Club Norte v Demo Club Sur,1
900001,Player_001,Demo Club Norte,Through ball,107.0,66.7,C20,AMF,False,False,2024-03-07,Demo Club Norte v Demo Club Atlántico,1
900001,Player_001,Demo Club Norte,Through ball,14.13,5.58,C1,AMF,False,False,2024-03-07,Demo Club Norte v Demo Club Atlántico,1
900001,Player_001,Demo Club Norte,Through ball,18.16,59.8,C13,AMF,True,False,2024-04-28,Demo Club Norte v Demo Club Mediterráneo,1
900001,Player_001,Demo Club Norte,Progressive pass,77.11,60.73,C15,AMF,False,True,2023-10-29,Demo Club Norte v Demo Club Capital,1
900001,Player_001,Demo Club Norte,Progressive pass,47.08,56.65,C14,AMF,True,False,2024-03-07,Demo Club Norte v Demo Club Sur,1
900001,Player_001,Demo Club Norte,Progressive pass,98.89,44.33,C12,AMF,True,False,2023-10-29,Demo Club Norte v Demo Club Atlántico,1
900001,Player_001,Demo Club Norte,Key pass,24.58,36.63,C9,AMF,False,True,2024-04-28,Demo Club Norte v Demo Club Sur,0
