player_id,player_name,team,primary_position,primary_role,market_value_mill,pred_iso_mill,pred_raw_mill,ratio_iso,ratio_raw,feature,feature_label,feature_value,feature_value_scaled,shap_value,mean_abs_shap_proxy
900001,Player_001,Demo Club Norte,AMF,Advanced Playmaker,16.8,13.8359,13.5975,0.8236,0.8094,minutos_2324,minutos_2324,749.0,0.9986666666666667,-0.2807926198268015,0.28246728446351
900001,Player_001,Demo Club Norte,AMF,Advanced Playmaker,16.8,13.8359,13.5975,0.8236,0.8094,edad,edad,22.0,0.9565217391304348,0.199151488224649,0.269552892404639
900001,Player_001,Demo Club Norte,AMF,Advanced Playmaker,16.8,13.8359,13.5975,0.8236,0.8094,puntos_en_1a,puntos_en_1a,75.0,0.9868421052631579,0.07701449509783101,0.261493426718808
900001,Player_001,Demo Club Norte,AMF,Advanced Playmaker,16.8,13.8359,13.5975,0.8236,0.8094,grupo_equipochampions,grupo_equipochampions,2.2902405750255586,0.6960708564624543,-0.003048609188047155,0.11496763381014
900001,Player_001,Demo Club Norte,AMF,Advanced Playmaker,16.8,13.8359,13.5975,0.8236,0.8094,contrato,contrato,-0.6204758842805288,0.0,-0.014485566228129321,0.0800931267577186
900001,Player_001,Demo Club Norte,AMF,Advanced Playmaker,16.8,13.8359,13.5975,0.8236,0.8094,area_raw,area_raw,0.496,0.3315508021390374,0.06496721333979767,0.0690299956602945
900001,Player_001,Demo Club Norte,AMF,Advanced Playmaker,16.8,13.8359,13.5975,0.8236,0.8094,progressive_passing_ratio,progressive_passing_ratio,0.111,0.09990999099909992,-0.02757846919687687,0.0587163092482733
900001,Player_001,Demo Club Norte,AMF,Advanced Playmaker,16.8,13.8359,13.5975,0.8236,0.8094,variacion_min,variacion_min,-1.0496485569523657,0.0,-0.05058555044406518,0.0398944285150205
900001,Player_001,Demo Club Norte,AMF,Advanced Playmaker,16.8,13.8359,13.5975,0.8236,0.8094,grupo_paisEspaña,grupo_paisEspaña,0.6237428286997535,0.3841389274674911,0.008040489335404761,0.0393274915157981
900001,Player_001,Demo Club Norte,AMF,Advanced Playmaker,16.8,13.8359,13.5975,0.8236,0.8094,shots_on_target90,shots_on_target90,1.011,0.5027349577324713,-0.08364138349690531,0.0346446076697715
